Encrypt,Encriptar,Criptografar
Decrypt,Desencriptar,Descriptografar
Generate Key,Generar Clave,Gerar chave
Change language,Cambiar lenguage,Alterar idioma
Help,Ayuda,Ajuda
Credits,Creditos,Creditos
Root of the file to encrypt,Ruta del archivo a encriptar,Raiz do arquivo para criptografar
Root of the key file,Ruta del archivo de claves,Raiz do arquivo de chaves
Root for save the file,Ruta para guardar el archivo,Raiz para salvar o arquivo
Back,Volver,De volta
Root of the file to decrypt,Ruta del archivo a desencriptar,Raiz do arquivo para criptografar
Lenght of the keys,Largo de las claves,Comprimento das chaves
Format of the keys,Formato de las claves,Formato das chaves
Numbers from 0 to 9,Numeros del 0 al 9,Numeros de 0 a 9
Lowercase letters,Letras minusculas,Letras peqeunas
Uppercase letters,Letras mayusculas,Letras maiusculas
Uppercase and lowercase letters,Letras mayusculas y minusculas,Letras maiusculas e letras pequenas
Random characters,Caracteres aleatorios,Caracteres aleatorios
The file to be encrypted has not been found,El archivo a encriptar no se pudo encontrar,O arquivo a ser criptografado nao foi encontrado
The key file has not been found,El archivo de claves no pudo ser encontrado,O arquivo do chaves nao foi encontrado
The file has been encrypted sucesfully!,El archivo fue encriptado exitosamente!,Oi arquivo foi criptografado com sucesso!
The file has been dencrypted sucesfully!,El archivo fue desencriptado exitosamente!,Oi arquivo foi descriptografado com sucesso!
The key file has been generated and saved sucessfully!,El archivo de claves fue generado y guardado exitosamente!,O arquivo de chave foi gerado e salvo com sucesso!
The language has been changed sucessfully!,El lenguage fue cambiado exitosamente!,A linguagem foi alterada com sucesso!
Choose the language to change,Elige el lenguage a cambiar,Escolha o idioma para mudar
